fromNode	toNode	weight	direction	fromAltName	toAltName
MMT00000159	MMT00000793	0.0741802257916941	undirected	Cdc2a	C330027C09Rik
MMT00000159	MMT00001154	0.197142224192426	undirected	Cdc2a	2600001J17Rik
MMT00000159	MMT00001245	0.24126062408297	undirected	Cdc2a	Cdca3
MMT00000159	MMT00001260	0.206752015676196	undirected	Cdc2a	Sgol2
MMT00000159	MMT00001698	0.198744153346671	undirected	Cdc2a	Top2a
MMT00000159	MMT00003188	0.125409921115193	undirected	Cdc2a	D630024B06Rik
MMT00000159	MMT00003410	0.241734122645486	undirected	Cdc2a	2810433K01Rik
MMT00000159	MMT00005561	0.16153633332882	undirected	Cdc2a	Solt
MMT00000159	MMT00005727	0.15752730264402	undirected	Cdc2a	Fignl1
MMT00000159	MMT00005801	0.217038033137736	undirected	Cdc2a	Cdc20
MMT00000159	MMT00006398	0.224963664669418	undirected	Cdc2a	D2Ertd750e
MMT00000159	MMT00007657	0.217394392866466	undirected	Cdc2a	Kif22
MMT00000159	MMT00008988	0.0877558091465834	undirected	Cdc2a	2810027O19Rik
MMT00000159	MMT00009301	0.135495536380354	undirected	Cdc2a	Topbp1
MMT00000159	MMT00009824	0.239731897672323	undirected	Cdc2a	Kif11
MMT00000159	MMT00010410	0.0870441975075996	undirected	Cdc2a	Mcm3
MMT00000159	MMT00010417	0.211290001950827	undirected	Cdc2a	Ttk
MMT00000159	MMT00011464	0.205998924286793	undirected	Cdc2a	Rad51
MMT00000159	MMT00011856	0.167810759154829	undirected	Cdc2a	Tcf19
MMT00000159	MMT00011887	0.0996361515984275	undirected	Cdc2a	Rbl1
MMT00000159	MMT00012512	0.234334136199766	undirected	Cdc2a	Mki67
MMT00000159	MMT00014892	0.0607030135084912	undirected	Cdc2a	NA
MMT00000159	MMT00015199	0.226434105158463	undirected	Cdc2a	Sgol1
MMT00000159	MMT00015626	0.217552651357462	undirected	Cdc2a	2610510J17Rik
MMT00000159	MMT00017411	0.0742000607612624	undirected	Cdc2a	Pcna
MMT00000159	MMT00017895	0.165601806779147	undirected	Cdc2a	Ris2
MMT00000159	MMT00017989	0.196846598655087	undirected	Cdc2a	Stmn1
MMT00000159	MMT00018081	0.219634595648622	undirected	Cdc2a	Kntc2
MMT00000159	MMT00018506	0.241223080952915	undirected	Cdc2a	Plk1
MMT00000159	MMT00019167	0.0920760208821904	undirected	Cdc2a	2610039C10Rik
MMT00000159	MMT00020107	0.219560332609779	undirected	Cdc2a	Cenph
MMT00000159	MMT00021508	0.173925075197029	undirected	Cdc2a	AW260467
MMT00000159	MMT00022605	0.220494758944091	undirected	Cdc2a	Mcm5
MMT00000159	MMT00023166	0.0699252255408175	undirected	Cdc2a	H2afz
MMT00000159	MMT00023318	0.205338661762051	undirected	Cdc2a	Kntc1
MMT00000159	MMT00023864	0.126886849757439	undirected	Cdc2a	6720460F02Rik
MMT00000159	MMT00025627	0.0706243987873243	undirected	Cdc2a	Pcna
MMT00000159	MMT00025658	0.20265803502492	undirected	Cdc2a	Melk
MMT00000159	MMT00025972	0.200856310738879	undirected	Cdc2a	Knsl7
MMT00000159	MMT00026166	0.155269133383753	undirected	Cdc2a	AA545217
MMT00000159	MMT00026450	0.252770814587744	undirected	Cdc2a	Birc5
MMT00000159	MMT00026462	0.135192372158889	undirected	Cdc2a	Mad2l1
MMT00000159	MMT00026734	0.189390920001303	undirected	Cdc2a	Chek1
MMT00000159	MMT00027615	0.234268970675643	undirected	Cdc2a	Tacc3
MMT00000159	MMT00028594	0.11522864813388	undirected	Cdc2a	2310035M22Rik
MMT00000159	MMT00029780	0.211781034823352	undirected	Cdc2a	2610036L13Rik
MMT00000159	MMT00030234	0.158470218431942	undirected	Cdc2a	1700022L09Rik
MMT00000159	MMT00030255	0.243358475305612	undirected	Cdc2a	Ccna2
MMT00000159	MMT00030413	0.0681845161000901	undirected	Cdc2a	Ddit4l
MMT00000159	MMT00030746	0.202676514430148	undirected	Cdc2a	2700084L22Rik
MMT00000159	MMT00031873	0.0722921053998873	undirected	Cdc2a	BC024139
MMT00000159	MMT00032264	0.137510795040056	undirected	Cdc2a	Nek2
MMT00000159	MMT00033001	0.146476975826954	undirected	Cdc2a	4930579G24Rik
MMT00000159	MMT00034383	0.195923556378831	undirected	Cdc2a	F730047E07Rik
MMT00000159	MMT00034407	0.160513706897911	undirected	Cdc2a	NA
MMT00000159	MMT00034605	0.163081851533687	undirected	Cdc2a	Hells
MMT00000159	MMT00035225	0.0520539232865126	undirected	Cdc2a	Gsta2
MMT00000159	MMT00035408	0.0510289991878313	undirected	Cdc2a	Mug2
MMT00000159	MMT00036790	0.238619527171415	undirected	Cdc2a	Racgap1
