nodeName	altName	nodeAttr[nodesPresent, ]
MMT00000159	Cdc2a	red
MMT00000793	C330027C09Rik	red
MMT00000840	Col5a3	red
MMT00000887	Gne	brown
MMT00001077	Ngfrap1	brown
MMT00001154	2600001J17Rik	red
MMT00001185	Nrarp	brown
MMT00001245	Cdca3	red
MMT00001260	Sgol2	red
MMT00001486	9930023K05Rik	brown
MMT00001698	Top2a	red
MMT00002002	Unc5b	brown
MMT00002037	Sulf1	brown
MMT00002050	2700081O15Rik	red
MMT00002102	Ltbp1	brown
MMT00002209	Tusc3	brown
MMT00002575	NA	brown
MMT00002758	Prg4	brown
MMT00002824	Efemp2	brown
MMT00003081	2310046G15Rik	brown
MMT00003188	D630024B06Rik	red
MMT00003410	2810433K01Rik	red
MMT00003586	1200003C23Rik	brown
MMT00003596	Art4	brown
MMT00003970	Ctps	brown
MMT00003982	A830073O21Rik	brown
MMT00003994	Sparc	brown
MMT00004034	NA	brown
MMT00004170	Naalad2	brown
MMT00004283	A530057A03Rik	brown
MMT00004397	NA	brown
MMT00004428	Timp1	brown
MMT00004844	Eltd1	brown
MMT00005285	Jun	red
MMT00005418	Dp1	red
MMT00005561	Solt	red
MMT00005727	Fignl1	red
MMT00005801	Cdc20	red
MMT00006001	Mogat1	brown
MMT00006077	Osbpl5	brown
MMT00006097	Jam2	brown
MMT00006142	Slc16a1	red
MMT00006230	Npn3	brown
MMT00006300	Tubb2	red
MMT00006315	5031439A09Rik	brown
MMT00006338	Cstb	red
MMT00006378	Bmp5	brown
MMT00006398	D2Ertd750e	red
MMT00006545	D4st1	brown
MMT00006684	Krt2-8	red
MMT00006709	Zfp521	brown
MMT00006713	Ppic	brown
MMT00006822	Tagln	brown
MMT00006859	3222401M22Rik	brown
MMT00007042	Aard	brown
MMT00007205	BC029214	brown
MMT00007277	2600017H02Rik	brown
MMT00007603	Arsa	brown
MMT00007657	Kif22	red
MMT00007709	Ehd2	brown
MMT00007836	NA	brown
MMT00007847	Gal3st1	brown
MMT00007859	Npdc1	brown
MMT00007963	Sdcbp2	brown
MMT00007995	Sh3bp4	brown
MMT00008094	Rtn1	brown
MMT00008463	Pdir	brown
MMT00008968	Ggta1	brown
MMT00008970	NA	brown
MMT00008988	2810027O19Rik	red
MMT00009272	9230112O05Rik	brown
MMT00009301	Topbp1	red
MMT00009302	BC051083	red
MMT00009670	2810406C15Rik	red
MMT00009690	NA	brown
MMT00009824	Kif11	red
MMT00009857	Fbln2	brown
MMT00009951	Sgce	brown
MMT00010083	Cyp4f15	red
MMT00010410	Mcm3	red
MMT00010412	Serpina1d	brown
MMT00010417	Ttk	red
MMT00010542	Col16a1	brown
MMT00010602	Pea15	brown
MMT00010873	Atp8b2	brown
MMT00010907	Zfp503	brown
MMT00010990	Bmf	red
MMT00011008	2700017M01Rik	red
MMT00011089	Cyp2c54	red
MMT00011268	Tnfsf13b	brown
MMT00011359	Sftpd	red
MMT00011386	1700003E16Rik	red
MMT00011436	Pdk4	red
MMT00011464	Rad51	red
MMT00011856	Tcf19	red
MMT00011876	0610039N19Rik	brown
MMT00011887	Rbl1	red
MMT00011935	Blnk	red
MMT00012202	AW547365	brown
MMT00012203	4632428N05Rik	brown
MMT00012511	Cpxm1	brown
MMT00012512	Mki67	red
MMT00012992	Fmo3	brown
MMT00013100	2810489O06Rik	brown
MMT00013122	Nbea	brown
MMT00013203	Mat1a	brown
MMT00013227	E030006K04Rik	brown
MMT00013704	Numbl	brown
MMT00013759	Sh3d4	brown
MMT00014132	6230427J02Rik	brown
MMT00014558	9030624L02Rik	brown
MMT00014630	Cnr2	brown
MMT00014730	Pam	brown
MMT00014892	NA	red
MMT00015180	1500041B16Rik	brown
MMT00015199	Sgol1	red
MMT00015289	Akr1b8	brown
MMT00015334	Loxl1	brown
MMT00015380	Sprr1a	red
MMT00015388	Serpina3k	red
MMT00015524	Hal	red
MMT00015525	NA	red
MMT00015534	4930542G03Rik	red
MMT00015563	Ppm1l	brown
MMT00015576	4930422J18Rik	red
MMT00015593	Lum	brown
MMT00015626	2610510J17Rik	red
MMT00015674	Agpt2	brown
MMT00015943	Gstm2	red
MMT00015966	Kifc3	red
MMT00016457	E230026N22Rik	brown
MMT00016621	LOC13909	red
MMT00016671	Slc39a10	red
MMT00016835	Gpld1	brown
MMT00016958	Kcnq1	brown
MMT00017188	Ian6	brown
MMT00017203	Sept9	brown
MMT00017411	Pcna	red
MMT00017421	Itgbl1	brown
MMT00017456	E430007K15Rik	brown
MMT00017674	Sfxn3	brown
MMT00017718	Lgi2	brown
MMT00017837	Impa2	red
MMT00017895	Ris2	red
MMT00017989	Stmn1	red
MMT00018071	Tek	brown
MMT00018081	Kntc2	red
MMT00018085	C1qr1	brown
MMT00018374	Igsf4a	brown
MMT00018479	Slc39a14	brown
MMT00018506	Plk1	red
MMT00018537	1810023F06Rik	red
MMT00018607	1110008L20Rik	red
MMT00018643	C86987	brown
MMT00018797	Ccdc3	brown
MMT00018843	1600029D21Rik	red
MMT00018931	NA	red
MMT00019063	Pcolce	brown
MMT00019167	2610039C10Rik	red
MMT00019191	NA	brown
MMT00019254	NA	red
MMT00019257	Cldn5	brown
MMT00019405	Adamts2	brown
MMT00019744	1300018K11Rik	brown
MMT00020088	Ctla2a	brown
MMT00020107	Cenph	red
MMT00020374	Thbd	brown
MMT00020598	2810051F02Rik	brown
MMT00020602	Spon2	red
MMT00020770	Adam8	brown
MMT00020883	Kit	brown
MMT00021004	Xbp1	brown
MMT00021090	Plxnb1	brown
MMT00021275	Sorbs1	brown
MMT00021364	Elovl7	red
MMT00021508	AW260467	red
MMT00021643	Fgd5	brown
MMT00021734	Rab15	brown
MMT00021805	Igfbp7	brown
MMT00022098	Bcl6b	brown
MMT00022230	Prss21	brown
MMT00022295	Mgst3	red
MMT00022605	Mcm5	red
MMT00022657	C8b	brown
MMT00022754	Bmp2	brown
MMT00022932	BC025446	brown
MMT00023166	H2afz	red
MMT00023318	Kntc1	red
MMT00023864	6720460F02Rik	red
MMT00024107	5730485H21Rik	brown
MMT00024150	Clstn3	brown
MMT00024300	Cyp2c40	brown
MMT00024307	Tubb4	red
MMT00024492	F2r	brown
MMT00024723	Gsta2	red
MMT00024800	2810006K23Rik	red
MMT00024851	Pdgfrb	brown
MMT00025021	Ly6d	red
MMT00025030	Inhbb	brown
MMT00025048	Sctr	brown
MMT00025137	2410004P03Rik	red
MMT00025256	Gmpr	brown
MMT00025527	Vtn	brown
MMT00025627	Pcna	red
MMT00025658	Melk	red
MMT00025842	Socs3	brown
MMT00025886	Tgm1	brown
MMT00025972	Knsl7	red
MMT00026028	AI324046	brown
MMT00026117	Plekha4	brown
MMT00026166	AA545217	red
MMT00026255	Tm4sf1	brown
MMT00026397	1200015A22Rik	red
MMT00026450	Birc5	red
MMT00026462	Mad2l1	red
MMT00026611	Col1a2	brown
MMT00026638	Zfpm2	brown
MMT00026734	Chek1	red
MMT00026944	Igfbp2	red
MMT00027064	Gpm6b	brown
MMT00027170	NA	brown
MMT00027378	Itih3	brown
MMT00027530	5430432M24Rik	brown
MMT00027615	Tacc3	red
MMT00027663	Slc3a1	brown
MMT00027667	Hspa5bp1	brown
MMT00027763	Slc38a2	brown
MMT00027861	Orm2	brown
MMT00027989	BC014805	brown
MMT00028002	Pparg	brown
MMT00028568	Tfpi	brown
MMT00028594	2310035M22Rik	red
MMT00028633	Frzb	brown
MMT00028683	Msx2	red
MMT00028763	Mfng	brown
MMT00028861	Mest	brown
MMT00028979	Gja1	brown
MMT00029126	3110041P15Rik	brown
MMT00029192	Lamb3	brown
MMT00029369	Cxcl5	brown
MMT00029547	Por	red
MMT00029780	2610036L13Rik	red
MMT00030080	2810022L02Rik	red
