GENE_ID	GENE_ID_noversion	logFC.as.vector.pheno.sample.class.Intermediate.Normal	logFC.as.vector.pheno.sample.class.Poor	logCPM	F	pvalue	padj	evalue	rank	Gene stable ID	Gene description	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene type	Gene % GC content	Source (gene)	HGNC symbol	HGNC ID
ENSG00000159387.7	ENSG00000159387	-5.412285255	-5.59953327	-1.107901625	114.8496773	3.95E-29	1.12E-24	2.24E-24	1.5	ENSG00000159387	iroquois homeobox 6 [Source:HGNC Symbol;Acc:HGNC:14675]	16	55323760	55330760	1	protein_coding	55.86	ensembl_havana	IRX6	HGNC:14675
ENSG00000079102.16	ENSG00000079102	-8.076183656	-6.243647328	3.716616823	114.9700853	3.79E-29	1.12E-24	2.15E-24	1.5	ENSG00000079102	RUNX1 translocation partner 1 [Source:HGNC Symbol;Acc:HGNC:1535]	8	91954967	92103286	-1	protein_coding	38.11	ensembl_havana	RUNX1T1	HGNC:1535
ENSG00000227674.1	ENSG00000227674	-0.401029783	4.661576928	-0.398724359	108.3819674	4.08E-28	7.72E-24	2.32E-23	3	ENSG00000227674	long intergenic non-protein coding RNA 355 [Source:HGNC Symbol;Acc:HGNC:27061]	13	63851197	64076044	-1	lincRNA	33.46	havana	LINC00355	HGNC:27061
ENSG00000183778.17	ENSG00000183778	0.075930264	5.28453054	-0.615185722	106.6383976	7.77E-28	1.1E-23	4.41E-23	4	ENSG00000183778	beta-1,3-galactosyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:920]	21	39556442	39673137	1	protein_coding	44.29	ensembl_havana	B3GALT5	HGNC:920
ENSG00000174697.4	ENSG00000174697	-5.005744124	-5.416842538	-0.140669765	93.0594953	1.49E-25	1.7E-21	8.48E-21	5	ENSG00000174697	leptin [Source:HGNC Symbol;Acc:HGNC:6553]	7	128241278	128257629	1	protein_coding	49.04	ensembl_havana	LEP	HGNC:6553
ENSG00000173826.14	ENSG00000173826	0.696194449	6.489686695	1.009967595	90.24520559	4.71E-25	4.45E-21	2.67E-20	6	ENSG00000173826	potassium voltage-gated channel subfamily H member 6 [Source:HGNC Symbol;Acc:HGNC:18862]	17	63523334	63548977	1	protein_coding	55.94	ensembl_havana	KCNH6	HGNC:18862
ENSG00000201500.1	ENSG00000201500	-9.738194235	-3.610032007	-7.063860976	88.56334541	9.43E-25	7.65E-21	5.35E-20	7	ENSG00000201500		14	100977389	100977466	1	snoRNA	39.74	ensembl		
ENSG00000109705.7	ENSG00000109705	-4.934474832	-5.499416645	-1.025054099	85.85543527	2.94E-24	1.95E-20	1.67E-19	8.5	ENSG00000109705	NK3 homeobox 2 [Source:HGNC Symbol;Acc:HGNC:951]	4	13540830	13545050	-1	protein_coding	62.88	ensembl_havana	NKX3-2	HGNC:951
ENSG00000196632.10	ENSG00000196632	0.351162789	5.579979593	2.420057424	85.73540669	3.09E-24	1.95E-20	1.75E-19	8.5	ENSG00000196632	WNK lysine deficient protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:14543]	X	54192823	54358642	-1	protein_coding	40.03	ensembl_havana	WNK3	HGNC:14543
ENSG00000201263.1	ENSG00000201263	-9.357621681	-4.679092536	-7.302435288	82.74879213	1.11E-23	6.3E-20	6.3E-19	10	ENSG00000201263	small nucleolar RNA, C/D box 114-6 [Source:HGNC Symbol;Acc:HGNC:32994]	14	100957166	100957237	1	snoRNA	40.28	ensembl	SNORD114-6	HGNC:32994
